"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound"
"1","bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",0,"round"
"2","bouba-kiki","sound/teetee.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","z",0,"spiky"
"3","bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","m",0,"round"
"4","bouba-kiki","sound/teetee.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","m",0,"spiky"
"5","bouba-kiki","sound/keekee.wav","z","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","m",0,"spiky"
"6","bouba-kiki","sound/gaga_rep.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","m",1,"round"
"7","bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","z",1,"round"
"8","bouba-kiki","sound/keekee.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","z",1,"spiky"
"9","bouba-kiki","sound/gaga_rep.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","z",0,"round"
"10","bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","m",0,"round"
"11","bouba-kiki","sound/keekee.wav","m","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","z",0,"spiky"
"12","bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","m",0,"round"
"13","bouba-kiki","sound/teetee.wav","z","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","m",0,"spiky"
"14","bouba-kiki","sound/teetee.wav","m","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","z",0,"spiky"
"15","bouba-kiki","sound/keekee.wav","z","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","m",0,"spiky"
"16","bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","z",0,"round"
"17","bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","m",0,"round"
"18","bouba-kiki","sound/teetee.wav","z","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","m",0,"spiky"
"19","bouba-kiki","sound/gaga_rep.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",0,"round"
"20","bouba-kiki","sound/teetee.wav","m","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","z",0,"spiky"
"21","bouba-kiki","sound/keekee.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","z",0,"spiky"
"22","bouba-kiki","sound/gaga_rep.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","z",0,"round"
"23","bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","m",0,"round"
"24","bouba-kiki","sound/keekee.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","m",0,"spiky"
"25","bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","m",0,"round"
"26","bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","z",0,"round"
"27","bouba-kiki","sound/keekee.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","m",0,"spiky"
"28","bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","z",0,"round"
"29","bouba-kiki","sound/teetee.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","z",0,"spiky"
"30","bouba-kiki","sound/teetee.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","m",0,"spiky"
"31","bouba-kiki","sound/keekee.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","z",0,"spiky"
"32","bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","m",0,"round"
